batch,step,bits,activation_mse
0,1,3,0.03946875873953104
0,1,4,0.00799112010281533
0,1,6,0.0003906803103745915
0,1,8,2.325774630662636e-05
0,2,3,0.05514847766608
0,2,4,0.009009618544951081
0,2,6,0.00045436206710292026
0,2,8,2.717048619160778e-05
0,3,3,0.05724805127829313
0,3,4,0.009643329307436943
0,3,6,0.0004946362168993801
0,3,8,2.92334607365774e-05
0,4,3,0.056279540061950684
0,4,4,0.009409904712811112
0,4,6,0.00048106422036653385
0,4,8,2.840068327714107e-05
0,5,3,0.05898904148489237
0,5,4,0.011063847923651338
0,5,6,0.0005376739864004776
0,5,8,3.209083797628409e-05
0,6,3,0.05381882283836603
0,6,4,0.008918829960748553
0,6,6,0.00046294315689010546
0,6,8,2.7761139790527523e-05
0,7,3,0.036103755701333284
0,7,4,0.006218737224116921
0,7,6,0.0003302833247289527
0,7,8,1.9428415725997183e-05
0,8,3,0.04247150383889675
0,8,4,0.007941220421344042
0,8,6,0.0003979187458753586
0,8,8,2.331492532903212e-05
1,1,3,0.03986821696162224
1,1,4,0.008223009412176907
1,1,6,0.0003936661159968935
1,1,8,2.34588601415453e-05
1,2,3,0.05666277837008238
1,2,4,0.009429399389773607
1,2,6,0.0004624554348993115
1,2,8,2.7709164442057954e-05
1,3,3,0.0589798241853714
1,3,4,0.010046560317277908
1,3,6,0.000505625779624097
1,3,8,2.9544242806878174e-05
1,4,3,0.05888615921139717
1,4,4,0.009695426095277071
1,4,6,0.00047910628927638754
1,4,8,2.9087175789754838e-05
1,5,3,0.059290748089551926
1,5,4,0.010890584671869874
1,5,6,0.0005467470618896186
1,5,8,3.240949445171282e-05
1,6,3,0.05594030115753412
1,6,4,0.009216589853167534
1,6,6,0.0004692506117862649
1,6,8,2.8414013740984956e-05
1,7,3,0.03856832906603813
1,7,4,0.006510171224363148
1,7,6,0.00034045003849314526
1,7,8,2.0179346392978914e-05
1,8,3,0.04481195192784071
1,8,4,0.007470819517038763
1,8,6,0.0004019731204607524
1,8,8,2.3943241558299633e-05
