step,continuous_bits,clipped_continuous_bits,A_k
1,26.53519946952142,8.0,2.0047579328337126e+27
2,24.90833775587717,8.0,2.1018106652200772e+26
3,20.71912530302629,8.0,6.315916480494361e+23
4,16.54698336227153,8.0,1.9433751171179382e+21
5,12.38682071241703,8.0,6.079797981507137e+18
6,8.164027729847373,8.0,1.7438713486247272e+16
7,4.068401352549971,4.068401352549971,59662529372946.695
8,-0.018654583634726878,4.0,206561224619.3109
9,-4.134241779436835,4.0,687414056.1310307
10,-8.238474261986978,4.0,2323936.3841326516
11,-12.259870701413972,4.0,8812.564932648103
12,-16.677654359038264,4.0,19.28996942937374
