step,log_G,G,L_mean
1,63.37076712281238,1.1420073898156842e+26,281.749442781849
2,57.56112313514451,9.965019428008728e+24,333.5003742913256
3,51.74970125634843,2.9827008348589887e+22,334.09382904068127
4,45.96370619448885,9.157648461962928e+19,325.70597651219066
5,40.19844065352608,2.8705225105542768e+17,319.02374666257606
6,34.39791342951344,868608332940318.8,330.47374768295083
7,28.731022460249825,3004170062513.453,289.1342084054962
8,23.05878988548849,10334874486.40743,290.6827815339773
9,17.369288572578327,34945091.47512067,295.7460990985074
10,11.692969169285288,119726.9687830042,291.8731830458011
11,6.045003083187935,421.99905858316174,283.7138290900001
12,0.0,1.0,421.9990585831616
