step,C_theoretical_p2,C_fitted,p_fitted,r_squared,materially_differs_from_2
1,17.554684415459633,18.30034810848054,2.006098020468227,0.9987385857245235,0.0
2,21.091887280344963,21.245181303716826,1.9993337474032231,0.9987717936079723,0.0
3,21.175159126520157,21.10247205112572,1.9969565113813208,0.9985784337567308,0.0
4,21.22133345901966,20.96626880148945,1.994950372676961,0.998423304010103,0.0
5,21.180109053850174,21.26638256352813,1.998272009785411,0.998477341392822,0.0
6,20.076613157987595,20.52412620971764,2.0012308194618704,0.9981791164635696,0.0
7,19.85990411043167,19.834740194124013,1.997642168994866,0.9987293024756725,0.0
8,19.98681502044201,20.11345910047853,1.9988325564628735,0.9984840165832133,0.0
9,19.671262174844742,20.851001282261638,2.0091570260036185,0.9987877578989198,0.0
10,19.4103000164032,23.304352812007536,2.043589973767694,0.9994100359375314,0.0
11,20.88290187716484,26.376851059150052,2.0617670201708735,0.9996499639186841,0.0
12,19.28996942937374,19.15073478794208,1.9957161179271619,0.9983971225166987,0.0
